Price,Capacity,Grape,Secondary Grape Varieties,Closure,Country,Unit,Per bottle / case / each,Type,ABV,Region,Style,Vintage,Appellation
22.99,75.0,6,83,0,3,9.8,0,1,13.0,17,4,14,26
15.99,75.0,6,81,0,3,9.8,0,1,13.0,17,4,14,26
23.99,75.0,11,61,0,3,10.1,0,1,13.5,17,4,14,26
17.99,75.0,11,78,0,3,9.8,0,1,13.0,17,4,14,26
13.99,75.0,11,76,1,3,9.8,0,1,13.0,17,4,14,22
17.99,75.0,26,32,0,7,10.9,0,0,14.5,19,12,11,56
18.99,75.0,11,21,0,3,9.8,0,1,13.0,17,4,14,26
11.99,75.0,11,73,1,3,9.4,0,1,12.5,17,4,14,21
12.99,75.0,16,8,0,3,10.9,0,0,14.5,3,12,12,11
16.99,75.0,1,43,0,3,9.8,0,0,13.0,3,12,6,35
9.99,75.0,15,25,0,3,9.8,0,2,13.0,18,11,14,27
22.99,75.0,26,35,0,7,10.9,0,0,14.5,19,12,7,56
11.99,75.0,7,26,1,4,9.8,0,0,13.0,24,1,13,68
35.99,1.0,11,21,2,3,19.5,0,1,13.0,17,4,14,26
19.99,75.0,16,6,0,3,10.9,0,0,14.5,3,12,11,60
9.99,75.0,11,20,0,3,10.9,0,0,14.5,18,13,14,27
18.99,75.0,11,77,0,3,11.3,0,0,15.0,18,1,11,37
18.99,75.0,17,71,0,3,10.9,0,0,14.5,10,1,12,36
19.99,75.0,23,60,1,1,9.4,0,2,12.5,21,3,13,1
17.99,75.0,11,78,0,3,9.8,0,1,13.0,17,4,14,26
18.99,75.0,7,64,0,4,10.9,0,0,14.5,24,8,11,68
14.99,75.0,11,84,0,3,11.3,0,0,15.0,18,1,12,27
21.99,75.0,11,24,3,3,9.8,0,1,13.0,17,4,13,22
13.99,75.0,16,7,0,3,10.9,0,0,14.5,3,12,12,11
44.99,75.0,1,3,0,3,10.5,0,0,14.0,3,12,7,44
19.99,75.0,2,19,0,3,9.8,0,1,13.0,10,10,14,19
11.99,75.0,12,89,0,3,10.1,0,2,13.5,18,11,14,27
14.99,75.0,1,5,0,2,10.5,0,0,14.0,0,12,13,0
21.99,75.0,1,44,0,3,9.8,0,0,13.0,3,12,1,35
17.99,75.0,31,82,0,8,10.9,0,0,14.5,5,1,12,49
25.99,75.0,11,20,0,3,10.9,0,0,14.5,18,1,14,16
13.99,75.0,11,71,0,3,11.3,0,0,15.0,18,12,12,70
17.99,75.0,11,51,0,3,11.3,0,0,15.0,18,12,12,27
19.99,75.0,11,51,0,3,10.9,0,0,14.5,18,12,13,34
16.99,75.0,11,51,0,3,10.5,0,0,14.0,18,1,13,67
13.99,75.0,3,72,0,2,10.5,0,0,14.0,7,8,11,53
17.99,75.0,18,53,0,4,9.8,0,0,13.0,20,13,13,30
9.99,75.0,26,36,0,7,10.1,0,0,13.5,19,13,12,56
14.99,75.0,1,3,0,3,9.8,0,0,13.0,3,12,4,47
15.99,75.0,28,63,0,4,9.4,0,1,12.5,13,4,14,39
12.99,75.0,16,79,0,3,9.8,0,1,13.0,10,4,14,12
13.99,75.0,11,23,0,3,10.1,0,1,13.5,10,4,14,19
15.99,75.0,11,0,1,8,9.4,0,1,12.5,5,10,14,48
12.99,37.0,11,10,0,3,4.9,0,1,13.0,17,4,14,26
14.99,75.0,1,43,0,3,9.8,0,0,13.0,3,12,9,35
16.99,75.0,4,17,0,3,9.4,0,2,12.5,12,2,13,61
9.99,75.0,11,86,0,7,10.5,0,0,14.0,19,13,13,56
14.99,75.0,1,11,0,5,10.9,0,0,14.5,11,12,12,7
29.99,75.0,1,68,0,4,10.5,0,0,14.0,23,12,13,9
12.99,75.0,4,89,1,3,10.1,0,2,13.5,10,11,14,51
11.99,75.0,11,80,0,3,10.9,0,0,14.5,18,1,12,27
